votesA,votesB,area,perimeter,pp_compactness,eg,imp_flag,win_count_a,win_count_b,total_votes,state_votes_a,state_votes_b,P_a,P_b,p_a,p_b,pOverP_a,pOverP_b,n,L,K,proportion_a,left_side,right_side,refined_left_side,refinded_right_side,refined_right_side
13,20,8.25,19,0.27833795013850415,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
16,17,8.25,18,0.3101234567901235,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
13,20,8.25,19,0.27833795013850415,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
17,16,8.25,20,0.25120000000000003,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
16,17,8.25,18,0.3101234567901235,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
14,19,8.25,18,0.3101234567901235,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
15,16,7.75,19,0.24354570637119113,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
12,19,7.75,18,0.27135802469135806,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
14,17,7.75,20,0.2198,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
14,19,8.25,18,0.3101234567901235,0.2993827160493827,1,1,9,324,144,180,0.4444444444444444,0.5555555555555556,0.1,0.9,4.444444444444444,0.6172839506172839,6,9,10,0.555,0.8,-0.9933233321249693,0.8,0.7423725765256073,
14,19,8.25,22,0.20760330578512398,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
17,20,9.25,21,0.2563265306122449,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
16,21,9.25,18,0.3488888888888889,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
14,21,8.75,21,0.22784580498866214,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
15,19,8.5,19,0.27833795013850415,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
19,18,9.25,18,0.3488888888888889,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
16,21,9.25,19,0.3131301939058172,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
18,19,9.25,21,0.2563265306122449,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
15,22,9.25,22,0.23355371900826447,0.2839506172839506,1,1,8,324,144,180,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,4.0,0.6250000000000001,6,9,9,0.555,0.8,-0.9926740454537849,0.8,0.7078244789990272,
17,24,10.25,22,0.25950413223140495,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
18,22,10.0,21,0.2848072562358277,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
18,21,9.75,22,0.23355371900826447,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
14,26,10.0,22,0.25950413223140495,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
18,23,10.25,19,0.3479224376731302,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
19,22,10.25,21,0.2848072562358277,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
22,19,10.25,20,0.314,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
18,23,10.25,22,0.25950413223140495,0.2685185185185185,1,1,7,324,144,180,0.4444444444444444,0.5555555555555556,0.125,0.875,3.5555555555555554,0.634920634920635,6,9,8,0.555,0.8,-0.991878293933843,0.8,0.6715012611776837,
24,23,11.75,24,0.2398611111111111,0.17901234567901234,0,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
20,27,11.75,22,0.28545454545454546,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
19,24,10.75,22,0.25950413223140495,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
22,25,11.75,22,0.28545454545454546,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
19,28,11.75,23,0.26117202268431,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
17,30,11.75,22,0.28545454545454546,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
23,23,11.5,24,0.2398611111111111,0.17901234567901234,1,1,5,324,144,180,0.4444444444444444,0.5555555555555556,0.14285714285714285,0.7142857142857143,3.111111111111111,0.7777777777777778,6,9,7,0.555,0.8,-0.9908786975723204,0.8,0.6330974604720788,
